result_title,result_doi,result_authors,result_dataverse,search_title,search_doi,diff
Editor's Foreword,doi:10.7910/DVN/MEJBZT,Nathaniel Beck,Political Analysis Dataverse,Editor's note,10.1080/00963402.2016.1194621,0.168929110105581
United States Census Bureau,,NULL,,"United states nuclear forces, 2018",10.1080/00963402.2018.1438219,0.215196867797038
North Korea,,NULL,,"North korean nuclear capabilities, 2018",10.1080/00963402.2017.1413062,0.239316239316239
Artificial Intelligence Reconstructs Missing Sunspots and Forecasts a New Solar Minimum?,doi:10.7910/DVN/U6B15L,"Velasco Herrera, Victor Manuel",Harvard Dataverse,"Artificial intelligence, cyberattack, and nuclear weapons—a dangerous combination",10.1080/00963402.2018.1533185,0.231685986453814
United States Census Bureau,"United states nuclear weapons, 2021",10.1080/00963402.2020.1859865,0.221639444827851
United States Census Bureau,,NULL,,"United states nuclear forces, 2019",10.1080/00963402.2019.1606503,0.215196867797038
Rapid assessment of behavior in adult residents in Eswatini to national COVID-19 prevention measures,doi:10.7910/DVN/W5VI16,"c(""Lukas, S"", ""Liao, S"", ""Arvin, L"", ""Padidar, S"")",Rapid assessment of behavior in adult residents in Eswatini to national COVID-19 prevention measures,"Nuclear war, public health, the covid-19 epidemic: lessons for prevention, preparation, mitigation, and education",10.1080/00963402.2020.1806592,0.248742909008396
United States Census Bureau,,NULL,,"United states nuclear forces, 2020",10.1080/00963402.2019.1701286,0.215196867797038
erratum.txt,,NULL,,Erratum,10.1080/09557571.2016.1267963,0.121212121212121
06242: Introduction to Ecologies,doi:10.7910/DVN/27520,"Dandois, Jonathan",GSD Design Data Dataverse,Introduction,10.1080/09557571.2013.782136,0.208333333333333
06242: Introduction to Ecologies,doi:10.7910/DVN/27520,"Dandois, Jonathan",GSD Design Data Dataverse,Introduction,10.1080/09557571.2013.790593,0.208333333333333
Leadership Dataverse,,NULL,,Leadership and the rise of great powers,10.1080/09557571.2019.1676976,0.249010346378768
Replication Data for: Ideas and Change in Foreign Policy Instruments: Soft Power and the Case of the Turkish International Cooperation and Development Agency (TIKA),doi:10.7910/DVN/4UZU8I,Pinar Ipek ,Foreign Policy Analysis Dataverse,The hell of good intentions: america's foreign policy elite and the decline of u.s. primacy; the great delusion: liberal dreams and international realities,10.1080/09557571.2019.1653651,0.235459615894291
Politics & Gender,,NULL,,Politics and the sacred,10.1080/09557571.2016.1231365,0.221824381926684
Replication Data for: How democratic is government really? The impact of subnational regime variation on evaluations of democracy,doi:10.7910/DVN/9DCRXA,"Fidalgo, Amanda",Subnational Democracy Dataverse,Democracy promotion in kosovo: mapping the substance of donor assistance and a comparative analysis of strategies,10.1080/09557571.2014.912612,0.249027909511266
"Replication Data for: The Foreign Policy Attitudes of Indian Elites: Variance, Structure, and Common Denominators",doi:10.7910/DVN/BYZDYE,"c(""Sumit Ganguly "", ""Timothy Hellwig"", ""William R. Thompson"")",Foreign Policy Analysis Dataverse,The study of indian foreign policy: emerging trends and arrested directions,10.1080/09557571.2020.1785719,0.247349365610235
"International student evaluations, policy recommendations, and the teaching profession: Does context matter?",,NULL,,"International development and the european union's external policies: changing contexts, problematic nexuses, contested partnerships",10.1080/09557571.2013.820073,0.235201297907569
Replication Data for: Ideas and Change in Foreign Policy Instruments: Soft Power and the Case of the Turkish International Cooperation and Development Agency (TIKA),doi:10.7910/DVN/4UZU8I,Pinar Ipek ,Foreign Policy Analysis Dataverse,Opportunities and limitations of the exercise of foreign policy power by a very small state: the case of trinidad and tobago,10.1080/09557571.2010.484049,0.231348804156619
Perceptions of Electoral Integrity,doi:10.7910/DVN/24075,"c(""Pippa Norris"", ""Richard W. Frank"", ""Ferran Martinez i Coma"")",Perceptions of Electoral Integrity Dataverse,The politics of deep integration,10.1080/09557571.2017.1459283,0.249299719887955
Replication Data for: How democratic is government really? The impact of subnational regime variation on evaluations of democracy,doi:10.7910/DVN/9DCRXA,"Fidalgo, Amanda",Subnational Democracy Dataverse,Transatlantic investor protection as a threat to democracy: the potency and limits of an emotive frame,10.1080/09557571.2018.1461805,0.220713058350795
Replication Data for: Ideas and Change in Foreign Policy Instruments: Soft Power and the Case of the Turkish International Cooperation and Development Agency (TIKA),doi:10.7910/DVN/4UZU8I,Pinar Ipek ,Foreign Policy Analysis Dataverse,Non-state actors and change in foreign policy: the case of a self-determination referendum in the kurdistan region of iraq,10.1080/09557571.2019.1663495,0.241926254605323
"Of words and deeds: Latin American declaratory regionalism, 1994-2014",doi:10.7910/DVN/UCWKGC,"c(""Nicole Jenne"", ""Luis Schenoni"", ""Urdinez, Francisco"")",Francisco Urdinez Dataverse,"Of words and deeds: latin american declaratory regionalism, 1994–2014",10.1080/09557571.2017.1383358,0.00966183574879231
Information Security Dataverse,,NULL,,Information for authors,10.1093/chinesejil/jmr033,0.241596745486906
Information Security Dataverse,,NULL,,Information for authors,10.1093/chinesejil/jms020,0.241596745486906
erratum.txt,,NULL,,Erratum,10.1093/chinesejil/jms037,0.121212121212121
Information Security Dataverse,,NULL,,Information for authors,10.1093/chinesejil/jms021,0.241596745486906
Information Security Dataverse,,NULL,,Information for authors,10.1093/chinesejil/jms022,0.241596745486906
Information Security Dataverse,,NULL,,Information for authors,10.1093/chinesejil/jms023,0.241596745486906
Information Security Dataverse,,NULL,,Information for authors,10.1093/chinesejil/jms075,0.241596745486906
Information Security Dataverse,,NULL,,Information for authors,10.1093/chinesejil/jmt060,0.241596745486906
Information Security Dataverse,,NULL,,Information for authors,10.1093/chinesejil/jmt061,0.241596745486906
Information Security Dataverse,,NULL,,Information for authors,10.1093/chinesejil/jmt062,0.241596745486906
Information Security Dataverse,,NULL,,Information for authors,10.1093/chinesejil/jmv018,0.241596745486906
International Authority Database,doi:10.7910/DVN/VA6RQV,"c(""Z�rn, Michael"", ""Tokhi, Alexandros"", ""Binder, Martin"")",International Authority Dataverse,International prosecutors,10.1093/chinesejil/jmv013,0.241666666666667
Information Security Dataverse,,NULL,,Information for authors,10.1093/chinesejil/jmv034,0.241596745486906
Information Security Dataverse,,NULL,,Information for authors,10.1093/chinesejil/jmv051,0.241596745486906
Information Security Dataverse,,NULL,,Information for authors,10.1093/chinesejil/jmv067,0.241596745486906
erratum.txt,,NULL,,Erratum,10.1093/chinesejil/jmq005,0.121212121212121
After Reform: Procedural Justice and the Legitimacy of International Institutions,,NULL,,Maritime delimitation in the jurisprudence of the international court of justice,10.1093/chinesejil/jmq018,0.227777777777778
The Chinese Journal of International Politics Dataverse,,NULL,,The tenth anniversary of the chinese journal of international law,10.1093/chinesejil/jmr009,0.244265258550973
Information Security Dataverse,,NULL,,Information for authors,10.1093/chinesejil/jms074,0.241596745486906
Information Security Dataverse,,NULL,,Information for authors,10.1093/chinesejil/jms076,0.241596745486906
Information Security Dataverse,,NULL,,Information for authors,10.1093/chinesejil/jms077,0.241596745486906
Information Security Dataverse,,NULL,,Information for authors,10.1093/chinesejil/jmt059,0.241596745486906
After Reform: Procedural Justice and the Legitimacy of International Institutions,,NULL,,Justice and realpolitik: the predicament of the international criminal court,10.1093/chinesejil/jmx009,0.228726136328476
Editor's Foreword,doi:10.7910/DVN/MEJBZT,Nathaniel Beck,Political Analysis Dataverse,Editor's note,10.1093/cjip/por019,0.168929110105581
Editor's Foreword,doi:10.7910/DVN/MEJBZT,Nathaniel Beck,Political Analysis Dataverse,Editor's note,10.1093/cjip/pos004,0.168929110105581
Editor's Foreword,doi:10.7910/DVN/MEJBZT,Nathaniel Beck,Political Analysis Dataverse,Editor's note,10.1093/cjip/pos008,0.168929110105581
Editor's Foreword,doi:10.7910/DVN/MEJBZT,Nathaniel Beck,Political Analysis Dataverse,Editor's note,10.1093/cjip/pos014,0.168929110105581
Editor's Foreword,doi:10.7910/DVN/MEJBZT,Nathaniel Beck,Political Analysis Dataverse,Editor's note,10.1093/cjip/pos020,0.168929110105581
erratum.txt,,NULL,,Erratum,10.1093/cjip/pou028,0.121212121212121
Replication Data for: Territorial Dispute Initiation by Weaker States,doi:10.7910/DVN/HMVALS,"Chen, Chong",The Chinese Journal of International Politics Dataverse,Territorial dispute initiation by weaker states,10.1093/cjip/poy009,0
Editor's Foreword,doi:10.7910/DVN/MEJBZT,Nathaniel Beck,Political Analysis Dataverse,Editor's notes,10.1093/cjip/poq002,0.189075630252101
Editor's Foreword,doi:10.7910/DVN/MEJBZT,Nathaniel Beck,Political Analysis Dataverse,Editor's note,10.1093/cjip/poq008,0.168929110105581
Editor's Foreword,doi:10.7910/DVN/MEJBZT,Nathaniel Beck,Political Analysis Dataverse,Editor's note,10.1093/cjip/poq013,0.168929110105581
Editor's Foreword,doi:10.7910/DVN/MEJBZT,Nathaniel Beck,Political Analysis Dataverse,Editor's note,10.1093/cjip/poq018,0.168929110105581
Editor's Foreword,doi:10.7910/DVN/MEJBZT,Nathaniel Beck,Political Analysis Dataverse,Editor's note,10.1093/cjip/por004,0.168929110105581
Editor's Foreword,doi:10.7910/DVN/MEJBZT,Nathaniel Beck,Political Analysis Dataverse,Editor's note,10.1093/cjip/por009,0.168929110105581
Editor's Foreword,doi:10.7910/DVN/MEJBZT,Nathaniel Beck,Political Analysis Dataverse,Editor's note,10.1093/cjip/por014,0.168929110105581
Replication Data for: International Contributions to Nicaraguan Democracy: The Role of Foreign Municipal Donations for Social Development,doi:10.7910/DVN/H1B3TJ,"c(""Leslie E. Anderson"", ""Won-ho Park "")",Foreign Policy Analysis Dataverse,Between core national interest and a harmonious world: reconciling self-role conceptions in chinese foreign policy,10.1093/cjip/pos023,0.247419532267522
Replication Data for: A Study for Scholarly Impacts of International Relations Academics and Departments in Turkey through Google Scholar Data,doi:10.7910/DVN/EZTVWV,"c(""Balci, Ali"", ""Filiz Cicioglu"", ""Duygu Kalkan"")",Uluslararası İlişkiler-International Relations,Methodology as a lingua franca in international relations: peripheral self-reflections on dialogue with the core,10.1093/cjip/poaa003,0.230565998329156
Replication Data for  Norm Entrepreneurship in Foreign Policy:  William Hague and the Prevention of Sexual Violence in Conflict,doi:10.7910/DVN/5SPLEY,"True, Jacqui",Foreign Policy Analysis Dataverse,Leaders' conceptual complexity and foreign policy change: comparing the bill clinton and george w. Bush foreign policies toward china,10.1093/cjip/poq015,0.244279742414844
The Political Economy of Power-Sharing,,NULL,,The political economy of joining the aiib,10.1093/cjip/poy006,0.157052310654686
Who joins counter-hegemonic IGOs? Early and late members of the China-led Asian Infrastructure Investment Bank,doi:10.7910/DVN/KCTYRK,"Rodrigues Vieira, Vinicius",Research & Politics Dataverse,Contesting contested multilateralism: why the west joined the rest in founding the asian infrastructure investment bank,10.1093/cjip/poz007,0.234136887078064
Replication Data for: The Political Economy of Inward FDI: Opposition to Chinese Mergers and Acquisitions,doi:10.7910/DVN/BGOBLA,"Tingley, Dustin",Harvard Dataverse,The political economy of inward fdi: opposition to chinese mergers and acquisitions,10.1093/cjip/pou049,0
Programmatic and Territorial Coherence: The Nationalization of Electoral Politics in Contemporary Brazil in Comparative Perspectives,,NULL,,"Special section: re-evaluating democratic revolutions, nationalism and organized crime in ukraine from a comparative perspective. Introduction",10.1016/j.postcomstud.2014.05.001,0.244233936403905
Replication material for: Understanding Segmentation in Rural Electricity Markets: Evidence from India,,NULL,,"Trust, mental models and community participation in transition: evidence from rural ukraine",10.1016/j.postcomstud.2019.04.003,0.240278675572793
06242: Introduction to Ecologies,doi:10.7910/DVN/27520,"Dandois, Jonathan",GSD Design Data Dataverse,Introduction,10.1016/j.postcomstud.2014.09.007,0.208333333333333
The rise of radical right in France,doi:10.7910/DVN/QOL1UK,"de Miranda, Lucas",Lucas Borba Dataverse,The rise of european right radicalism: the case of jobbik,10.1016/j.postcomstud.2016.08.001,0.242065949186692
06242: Introduction to Ecologies,doi:10.7910/DVN/27520,"Dandois, Jonathan",GSD Design Data Dataverse,Introduction,10.1016/j.postcomstud.2013.06.010,0.208333333333333
